,Country,"Ratio de la population pauvre disposant de moins de $ 1,90 par jour (2011 PPA) (% de la population)","Espérance de vie à la naissance, total (années)","Population, total",Croissance de la population (% annuel),Migration nette,Indice du capital humain (échelle comprise entre 0 et 1),PIB ($ US courants)current US$constant US$current LCUconstant LCU,PIB par habitant ($ US courants)current US$constant US$current LCUconstant LCU,Croissance du PIB (% annuel),"Chômage, total (% de la population) (estimation modélisée OIT)","Inflation, prix à la consommation (% annuel)","Envois de fonds des travailleurs et rémunérations des salariés, reçus (% du PIB)",Émissions de CO2 (tonnes métriques par habitant),Surface forestière (% du territoire),Accès à l’électricité (% de la population),"Retraits annuels d’eau douce, total (% des ressources internes)","Production d’électricité à partir de sources d’énergie renouvelables, hors énergie hydroélectrique (% du total)",People using safely managed sanitation services (% of population),Homicides intentionnels (pour 100 000 personnes),"Dette du gouvernement central, total (% du PIB)",Statistical performance indicators (SPI): Overall score (scale 0-100),Utilisateurs d Internet (% de la population),Proportion de sièges occupés par des femmes dans les parlements nationaux (%),"Investissements étrangers directs, entrées nettes (% du PIB)"
0,afghanistan,No data available,62,41 128 771,"2,5",-183 672,"0,4","14,58","363,7","-20,7","11,7","2,3","2,1","0,2","1,9","97,7",43,No data available,No data available,4,No data available,"49,8",18,27,"0,1"
1,afrique,"20,5",62,59 893 885,"0,8",10 934,"0,4","405,87","6 776,5","2,0","29,8","7,0","0,2","6,7","14,1","89,3",45,"1,9",No data available,42,"75,6","73,5",72,47,"2,2"
2,albanie,"0,0",76,2 775 634,"-1,3",-10 612,"0,6","18,88","6 802,8","4,8","11,8","6,7","9,2","1,5","28,8","100,0",3,"0,0",48,2,"82,4","75,4",79,36,"7,6"
3,algerie,"0,5",76,44 903 225,"1,6",-18 797,"0,5","191,91","4 273,9","3,1","11,6","9,3","0,9","3,7","0,8","99,8",87,"0,1",18,2,No data available,"55,1",71,8,"0,0"
4,allemagne,"0,0",81,84 079 811,"1,1",312 735,"0,8","4,07","48 432,5","1,8","3,0","6,9","0,5","7,3","32,7","100,0",23,"26,3",97,1,No data available,"87,5",91,35,"1,2"
5,angola,"31,1",62,35 588 987,"3,1",29 089,"0,4","106,71","2 998,5","3,0","10,2","25,8","0,0","0,6","53,4","48,2",0,"0,0",No data available,4,No data available,"54,9",33,34,"-5,8"
6,arabie,No data available,77,36 408 820,"1,3",-153 883,"0,6","1,11","30 436,3","8,7","5,6","2,5","0,0","14,3","0,5","100,0",974,"0,0",59,1,No data available,"63,4",100,20,"0,7"
7,argentine,"1,0",75,46 234 830,"0,9",2 344,"0,6","632,77","13 686,0","5,2","6,5",No data available,"0,2","3,4","10,4","100,0",13,"1,9",51,5,No data available,"64,6",87,45,"2,4"
8,armenie,"0,5",72,2 780 469,"-0,4",-12 825,"0,6","19,5","7 014,2","12,6","12,6","8,6","10,4","2,4","11,5","100,0",41,"0,1",69,2,"60,2","82,2",79,36,"5,1"
9,aruba,No data available,75,106 445,"-0,1",501,No data available,"3,13","29 342,1","17,2",No data available,"4,3","1,1",No data available,"2,3","100,0",No data available,No data available,No data available,2,No data available,No data available,97,No data available,"4,3"
10,australie,"0,5",83,25 978 935,"1,1",117 929,"0,8","1,68","64 491,4","3,6","3,7","6,6","0,1","14,8","17,4","100,0",2,"8,3",74,1,"70,2","88,2",96,38,"4,0"
11,azerbaidjan,"0,0",69,10 175 016,"0,4",1 084,"0,6","78,72","7 736,7","4,6","5,5","13,9","5,0","3,4","13,7","100,0",155,"0,4",21,2,"16,8","68,1",86,18,"-5,7"
12,bahrein,No data available,79,1 472 233,"0,6",-9 150,"0,7","44,39","30 152,0","4,9","1,4","3,6",No data available,"22,0","0,9","100,0",3 878,"0,0",91,0,"29,4","54,5",100,20,"4,5"
13,barbade,No data available,78,281 635,"0,2",-28,No data available,"5,64","20 018,5","10,0","8,2","4,1","0,0","3,9","14,7","100,0",88,No data available,No data available,11,"146,9",No data available,86,27,"4,9"
14,belgique,"0,1",82,11 669 446,"0,7",52 356,"0,8","578,6","49 582,8","3,2","5,6","9,6","2,3","7,4","22,8","100,0",35,"20,3",89,1,"109,2","82,4",93,43,"1,7"
15,benin,"19,9",60,13 352 864,"2,7",1 732,"0,4","17,4","1 303,2","6,3","1,7","1,4","1,2","0,6","27,8","42,0",1,"1,5",No data available,1,No data available,"48,0",34,7,"2,0"
16,bermudes,No data available,79,63 532,"-0,4",291,No data available,"7,55","118 845,6","2,9",No data available,No data available,"15,9",No data available,"18,5","100,0",No data available,No data available,No data available,11,No data available,No data available,98,No data available,"0,7"
